"position","track_id","track_name","artists","artist_uris","album_name","album_id","album_uri","duration_ms","duration_min","playcount","content_rating","playable","preview_url","cover_url","track_uri","track_url"
"1048","3SU8vSoDShZUMiBImbPjss","Für Heisenberg","Hozho","spotify:artist:4SxTtbkEKXwyhltXD7tnYQ","Yin Yang","0R4XbNxI4fbyJnLG2t3ryD","spotify:album:0R4XbNxI4fbyJnLG2t3ryD","525125","8,75","5664763","NONE","True","https://p.scdn.co/mp3-preview/d412d750e5f14aa5585cb67d8002d23076c7a47c","https://i.scdn.co/image/ab67616d0000b27370ed7b83645770398c1d6181","spotify:track:3SU8vSoDShZUMiBImbPjss","https://open.spotify.com/track/3SU8vSoDShZUMiBImbPjss"
"1049","6fKXxjyyfk43fNJFpQYPpK","All Day Long","Argy","spotify:artist:1NaQOKgddaJipUtmptb7GI","New World","34eqkiNdakhMaOmklFTpOv","spotify:album:34eqkiNdakhMaOmklFTpOv","224390","3,74","1202966","NONE","True","https://p.scdn.co/mp3-preview/bc66f41d4de646876804f3b5c68e5b1bbe36e590","https://i.scdn.co/image/ab67616d0000b2734b0cf5068f1af6be93fa0a60","spotify:track:6fKXxjyyfk43fNJFpQYPpK","https://open.spotify.com/track/6fKXxjyyfk43fNJFpQYPpK"
"1050","2gDVBSnmyCgcCeVHLjWLqm","Detuned","Eze Ramirez","spotify:artist:3Opa18T1i19my4JhThTWiw","Detuned","7ao2aKHrUm5swAHyzhGn7R","spotify:album:7ao2aKHrUm5swAHyzhGn7R","433806","7,23","112011","NONE","True","https://p.scdn.co/mp3-preview/4d919120f30b56483d6700ae5f8ab94f6b1748fc","https://i.scdn.co/image/ab67616d0000b2735d0cda26e87cb11eda659665","spotify:track:2gDVBSnmyCgcCeVHLjWLqm","https://open.spotify.com/track/2gDVBSnmyCgcCeVHLjWLqm"
"1051","6ptT08FwGlGat6H4m0DGuW","Aspects of Rhythm","Audio Junkies","spotify:artist:2NGNgQjHCjOyC99mPqMiHS","Aspects of Rhythm","229ht9Obf6vKUqhWhSpaw6","spotify:album:229ht9Obf6vKUqhWhSpaw6","359800","6","367791","NONE","True","https://p.scdn.co/mp3-preview/515b8d44d62ac6c6561d074a8cee216040de6dd0","https://i.scdn.co/image/ab67616d0000b273cb28be8a198054e0796228ff","spotify:track:6ptT08FwGlGat6H4m0DGuW","https://open.spotify.com/track/6ptT08FwGlGat6H4m0DGuW"
"1052","7tbJcZna7BE3KvG5DddSww","World Is Free","Christian Nielsen","spotify:artist:482tFoPyYAl3JDPXHKGAQr","World Is Free","7fQh4GY82J5LUGq6pijRfr","spotify:album:7fQh4GY82J5LUGq6pijRfr","280062","4,67","189288","NONE","True","https://p.scdn.co/mp3-preview/e9eb4b9647fe11dc7f45844a66da253109b70a17","https://i.scdn.co/image/ab67616d0000b273f6e4f24f47ccc76c1b3cc84b","spotify:track:7tbJcZna7BE3KvG5DddSww","https://open.spotify.com/track/7tbJcZna7BE3KvG5DddSww"
"1053","18pZlkIN4njoFxN90YedB2","Elara - Original Mix","Hozho","spotify:artist:4SxTtbkEKXwyhltXD7tnYQ","Be The Best & Fuck The Rest","06NkXfdOv8kXVIrB9JuPNL","spotify:album:06NkXfdOv8kXVIrB9JuPNL","528000","8,8","1626663","NONE","True","https://p.scdn.co/mp3-preview/ccf2d56828babd17bd9a8a9ba3a4448d476fb7de","https://i.scdn.co/image/ab67616d0000b2732d5d8a48db0d7d180ecd0208","spotify:track:18pZlkIN4njoFxN90YedB2","https://open.spotify.com/track/18pZlkIN4njoFxN90YedB2"
"1054","0mKN7SfLAhchrv1KdEeuJb","Endure and Survive","Hozho","spotify:artist:4SxTtbkEKXwyhltXD7tnYQ","Endure and Survive","3hS1NogijwrFhgll1bNdxx","spotify:album:3hS1NogijwrFhgll1bNdxx","504724","8,41","1187487","NONE","True","https://p.scdn.co/mp3-preview/791e77d5b50e8694d8541f9313935885074b8164","https://i.scdn.co/image/ab67616d0000b273c3c2e0cca4e0f11ef8bbf60e","spotify:track:0mKN7SfLAhchrv1KdEeuJb","https://open.spotify.com/track/0mKN7SfLAhchrv1KdEeuJb"
"1055","0otmh5QkPkM4HtSleILAWC","Desolate Lands","Adam Beyer; Chris Avantgarde","spotify:artist:1btv9qmIpbp7q1ixCYNdHu; spotify:artist:715OI7hiv58daVlEDXM47U","Desolate Lands","2KLiLQvguVwRpcLqL74Huc","spotify:album:2KLiLQvguVwRpcLqL74Huc","258466","4,31","3171051","NONE","True","https://p.scdn.co/mp3-preview/1850980eaf4591f399133574f42cd5b21a27cbbe","https://i.scdn.co/image/ab67616d0000b273611297a0af8ce2c1a537fffc","spotify:track:0otmh5QkPkM4HtSleILAWC","https://open.spotify.com/track/0otmh5QkPkM4HtSleILAWC"
"1056","2OkOgmVzRjhph4kawX1MHF","Choose Life","Rebūke; Linska","spotify:artist:113reBz1jA6rVxbXl55mlj; spotify:artist:5f7jxYF5js7lD5lMyIPUBq","Choose Life","2KzcNZkZJ7tbBMcizN3e5x","spotify:album:2KzcNZkZJ7tbBMcizN3e5x","214730","3,58","1113986","NONE","True","https://p.scdn.co/mp3-preview/9d60232b3682373f6fda3bb7c363b2923d052d72","https://i.scdn.co/image/ab67616d0000b273925d504ecefbce05c46eb463","spotify:track:2OkOgmVzRjhph4kawX1MHF","https://open.spotify.com/track/2OkOgmVzRjhph4kawX1MHF"
"1057","1Bkckgr1RGncOvWDn5Ar3h","Are We Truly Free?","KAS:ST","spotify:artist:7orlzf5LTqSnCzURkZFebN","Are We Truly Free?","1L0FGABuXR9XRQiducXXps","spotify:album:1L0FGABuXR9XRQiducXXps","216850","3,61","4610130","NONE","True","https://p.scdn.co/mp3-preview/efdd74681ac8ce652371bd3638033ae32afefb94","https://i.scdn.co/image/ab67616d0000b273f1e4d90fff9cb5ff1112c38e","spotify:track:1Bkckgr1RGncOvWDn5Ar3h","https://open.spotify.com/track/1Bkckgr1RGncOvWDn5Ar3h"
"1058","0dyNvuXPab9mVtb6hz72PF","Mental Obsession","19:26; Yubik","spotify:artist:2IelDQgKvM3U4P7HVVmaOX; spotify:artist:4rQiYfSqmicW55TlG6vjK7","Mental Obsession","0hfQVCCY3yCGZkoQy11PCn","spotify:album:0hfQVCCY3yCGZkoQy11PCn","328635","5,48","670508","NONE","True","https://p.scdn.co/mp3-preview/68f92e46b6b5f140168672feb5c2b822cefc1c6d","https://i.scdn.co/image/ab67616d0000b273f438f375106fa2ad3b842d10","spotify:track:0dyNvuXPab9mVtb6hz72PF","https://open.spotify.com/track/0dyNvuXPab9mVtb6hz72PF"
"1059","1xSY71ss3DeCdNA5YZS6bK","Shake This World","Konstantin Sibold","spotify:artist:5Ls75umF4lBOQVp3pJAlbW","Unity Pt. 3","5jXLIlcuEhUQIjo9H5ruo9","spotify:album:5jXLIlcuEhUQIjo9H5ruo9","344761","5,75","1485165","NONE","True","https://p.scdn.co/mp3-preview/3c79de178bad283c4d538c5368fb80f7b7a68808","https://i.scdn.co/image/ab67616d0000b2730b0957bcf8407d9ffea67553","spotify:track:1xSY71ss3DeCdNA5YZS6bK","https://open.spotify.com/track/1xSY71ss3DeCdNA5YZS6bK"
"1060","1am9VEtFtRqQUVE7VBwXcS","I Can Feel You","Alphadog","spotify:artist:0BCwCDWFMwyKChehFuZFdG","I Can Feel You","3adfzswpEE5K0MWMq1shbN","spotify:album:3adfzswpEE5K0MWMq1shbN","421463","7,02","152791","NONE","True","https://p.scdn.co/mp3-preview/a464bed134ea645ff016bdfbe838ccb3854fd243","https://i.scdn.co/image/ab67616d0000b273010710eb4c0eeeaeb3ef6964","spotify:track:1am9VEtFtRqQUVE7VBwXcS","https://open.spotify.com/track/1am9VEtFtRqQUVE7VBwXcS"
"1061","3Akji27kZTWosGkCY7LUbh","Mindcraft","Weekend Heroes","spotify:artist:0f38k6IM0q7Je0QihLXpD8","Upside Down","0OFBDD3aoPJ0tMONIdMfD2","spotify:album:0OFBDD3aoPJ0tMONIdMfD2","322622","5,38","359677","NONE","True","https://p.scdn.co/mp3-preview/4a567589f4815f2c8faff8afdb32ab7d553d4a2e","https://i.scdn.co/image/ab67616d0000b27307fd16555a921bf9f5339bfd","spotify:track:3Akji27kZTWosGkCY7LUbh","https://open.spotify.com/track/3Akji27kZTWosGkCY7LUbh"
"1062","3l3LeZFdCz58AWpjB4oQ0B","Bring It Back","Vomee","spotify:artist:7AoYKqkWmyz20OmuMC8OeS","Bring It Back","7AnVR1S1iFZfoYiw4g1etG","spotify:album:7AnVR1S1iFZfoYiw4g1etG","306774","5,11","486924","NONE","True","https://p.scdn.co/mp3-preview/fe29099cfce22d9f9eb1a88fc89b100253c770d8","https://i.scdn.co/image/ab67616d0000b27379c3b2e0885cde5e06c82d75","spotify:track:3l3LeZFdCz58AWpjB4oQ0B","https://open.spotify.com/track/3l3LeZFdCz58AWpjB4oQ0B"
"1063","3xvYI1UqI8syVMja8lx0vh","Titanium","ANII; Celeste; Andrea On off Music","spotify:artist:3Do8Sv7yTTtIjf68qHkx0o; spotify:artist:4ccgwPLcI93UQYM5vIpB2i; spotify:artist:2x4eSJhtxUMyS8nWDngSG1","Titanium","1163wG9vyASdn2GrkG6sZz","spotify:album:1163wG9vyASdn2GrkG6sZz","219047","3,65","833732","NONE","True","https://p.scdn.co/mp3-preview/9b7465ba0a79268a4abcf4ac66c3099207ac6fb9","https://i.scdn.co/image/ab67616d0000b2739ec0e6e99e32e2e23037e63a","spotify:track:3xvYI1UqI8syVMja8lx0vh","https://open.spotify.com/track/3xvYI1UqI8syVMja8lx0vh"
"1064","1CBgv9Uoq1WhVGxumIYD1H","Fusion","widerberg","spotify:artist:6ob0DwL4uI6eR5i9cc5tNn","Fusion","0jaZCvkQj9v6ui0EbAxZF7","spotify:album:0jaZCvkQj9v6ui0EbAxZF7","145921","2,43","804051","NONE","True","https://p.scdn.co/mp3-preview/2a5389f686727eed0415f2ced035e9fd6341dca4","https://i.scdn.co/image/ab67616d0000b2739eb31d9a448f0eb2184ee8fd","spotify:track:1CBgv9Uoq1WhVGxumIYD1H","https://open.spotify.com/track/1CBgv9Uoq1WhVGxumIYD1H"
